kenpom,sports_reference_url_value,cbs,conference,vsin,teamrank,sports_reference,home_location
Montana St.,montana-state,Montana St.,BSky,Montana ST,Montana St,Montana State,Brick Breeden Fieldhouse
Morehead St.,morehead-state,Morehead St.,OVC,Morehead ST,Morehead St,Morehead State,Ellis Johnson Arena
Morgan St.,morgan-state,Morgan St.,MEAC,Morgan ST,Morgan St,Morgan State,Talmadge L. Hill Field House
Mount St. Mary's,mount-st-marys,Mt St Mary's,MAAC,Mt St Marys,Mt St Mary's,Mount St. Mary's,Knott Arena
Murray St.,murray-state,Murray St.,MVC,Murray ST,Murray St,Murray State,CFSB Center
N.C. State,north-carolina-state,NC State,ACC,NC State,NC State,NC State,Lenovo Center
Navy,navy,Navy,PL,Navy,Navy,Navy,Alumni Hall
Nebraska,nebraska,Nebraska,B10,Nebraska,Nebraska,Nebraska,Pinnacle Bank Arena
Nebraska Omaha,nebraska-omaha,Omaha,Sum,Nebraska-Omaha,Omaha,Omaha,Baxter Arena
Nevada,nevada,Nevada,MWC,Nevada,Nevada,Nevada,Lawlor Events Center
New Hampshire,new-hampshire,New Hamp.,AE,New Hampshire,N Hampshire,New Hampshire,Lundholm Gym
New Mexico,new-mexico,New Mexico,MWC,New Mexico,New Mexico,New Mexico,The Pit
New Mexico St.,new-mexico-state,N. Mex. St.,CUSA,New Mexico ST,N Mex State,New Mexico State,Pan American Center
New Orleans,new-orleans,New Orleans,Slnd,New Orleans,New Orleans,New Orleans,Lakefront Arena
Niagara,niagara,Niagara,MAAC,Niagara,Niagara,Niagara,Gallagher Center
Nicholls,nicholls-state,Nicholls,Slnd,Nicholls ST,Nicholls,Nicholls State,Stopher Gymnasium
NJIT,njit,N.J. Tech,AE,NJIT,NJIT,NJIT,Wellness and Events Center
Norfolk St.,norfolk-state,Norfolk St.,MEAC,Norfolk ST,Norfolk St,Norfolk State,Joseph G. Echols Memorial Hall
North Alabama,north-alabama,N. Alabama,ASun,N Alabama,N Alabama,North Alabama,Flowers Hall
North Carolina,north-carolina,N. Carolina,ACC,North Carolina,North Carolina,North Carolina,Dean Smith Center
North Carolina A&T,north-carolina-at,NC A&T,CAA,N Carolina A&T,NC A&T,North Carolina A&T,Corbett Sports Center
North Carolina Central,north-carolina-central,NC Central,MEAC,NC Central,NC Central,North Carolina Central,McDougald–McLendon Arena
North Dakota,north-dakota,North Dakota,Sum,N Dakota,North Dakota,North Dakota,Betty Engelstad Sioux Center
North Dakota St.,north-dakota-state,N. Dakota St.,Sum,N Dakota ST,N Dakota St,North Dakota State,Scheels Center
North Florida,north-florida,North Florida,ASun,N Florida,N Florida,North Florida,UNF Arena
North Texas,north-texas,North Texas,Amer,North Texas,N Texas,North Texas,UNT Coliseum
Northeastern,northeastern,Northeastern,CAA,Northeastern,Northeastrn,Northeastern,Matthews Arena
Northern Arizona,northern-arizona,N. Arizona,BSky,N Arizona,N Arizona,Northern Arizona,Walkup Skydome
Northern Colorado,northern-colorado,N. Colorado,BSky,N Colorado,N Colorado,Northern Colorado,Bank of Colorado Arena
Northern Illinois,northern-illinois,N. Illinois,MAC,N Illinois,N Illinois,Northern Illinois,Convocation Center
Northern Iowa,northern-iowa,N. Iowa,MVC,N Iowa,N Iowa,Northern Iowa,McLeod Center
Northern Kentucky,northern-kentucky,N. Kentucky,Horz,N Kentucky,N Kentucky,Northern Kentucky,Truist Arena
Northwestern,northwestern,Northwestern,B10,Northwestern,Northwestern,Northwestern,Welsh–Ryan Arena
Northwestern St.,northwestern-state,Northwestern St.,Slnd,Northwestern ST,NW State,Northwestern State,Prather Coliseum
Notre Dame,notre-dame,Notre Dame,ACC,Notre Dame,Notre Dame,Notre Dame,Purcell Pavilion at Edmund P. Joyce Center
Oakland,oakland,Oakland,Horz,Oakland,Oakland,Oakland,OU Credit Union O'rena
Ohio,ohio,Ohio,MAC,Ohio,Ohio,Ohio,Convocation Center
Ohio St.,ohio-state,Ohio St.,B10,Ohio ST,Ohio St,Ohio State,Value City Arena
Oklahoma,oklahoma,Oklahoma,SEC,Oklahoma,Oklahoma,Oklahoma,Lloyd Noble Center
Oklahoma St.,oklahoma-state,Okla. St.,B12,Oklahoma ST,Oklahoma St,Oklahoma State,Gallagher-Iba Arena
Old Dominion,old-dominion,Old Dominion,SB,Old Dominion,Old Dominion,Old Dominion,Chartway Arena
Oral Roberts,oral-roberts,Oral Roberts,Sum,Oral Roberts,Oral Roberts,Oral Roberts,Mabee Center
Oregon,oregon,Oregon,B10,Oregon,Oregon,Oregon,Matthew Knight Arena
Oregon St.,oregon-state,Oregon St.,WCC,Oregon ST,Oregon St,Oregon State,Gill Coliseum
Pacific,pacific,Pacific,WCC,Pacific,Pacific,Pacific,Alex G. Spanos Center
Penn,pennsylvania,Penn,Ivy,Pennsylvania,U Penn,Pennsylvania,Palestra
Penn St.,penn-state,Penn St.,B10,Penn ST,Penn St,Penn State,Bryce Jordan Center
Pepperdine,pepperdine,Pepperdine,WCC,Pepperdine,Pepperdine,Pepperdine,Firestone Fieldhouse
Pittsburgh,pittsburgh,Pittsburgh,ACC,Pittsburgh,Pittsburgh,Pittsburgh,Petersen Events Center
Portland,portland,Portland,WCC,Portland,Portland,Portland,Chiles Center
Portland St.,portland-state,Portland St.,BSky,Portland ST,Portland St,Portland State,Viking Pavilion
Prairie View A&M,prairie-view,Prairie View,SWAC,Prairie View A&M,Prairie View,Prairie View,William J. Nicks Building
Presbyterian,presbyterian,Presbyterian,BSth,Presbyterian,Presbyterian,Presbyterian,Templeton Physical Education Center
Princeton,princeton,Princeton,Ivy,Princeton,Princeton,Princeton,Jadwin Gymnasium
Providence,providence,Providence,BE,Providence,Providence,Providence,Amica Mutual Pavilion
Purdue,purdue,Purdue,B10,Purdue,Purdue,Purdue,Mackey Arena
Purdue Fort Wayne,ipfw,PFW,Horz,IPFW,IPFW,Purdue Fort Wayne,Hilliard Gates Sports Center
Queens,queens-nc,Queens,ASun,Queens NC,Queens,Queens (NC),Curry Arena
Quinnipiac,quinnipiac,Quinnipiac,MAAC,Quinnipiac,Quinnipiac,Quinnipiac,M&T Bank Arena
Radford,radford,Radford,BSth,Radford,Radford,Radford,Dedmon Center
Rhode Island,rhode-island,Rhode Island,A10,Rhode Island,Rhode Island,Rhode Island,Thomas M. Ryan Center
Rice,rice,Rice,Amer,Rice,Rice,Rice,Tudor Fieldhouse
Richmond,richmond,Richmond,A10,Richmond,Richmond,Richmond,Robins Center
Rider,rider,Rider,MAAC,Rider,Rider,Rider,Alumni Gymnasium
Robert Morris,robert-morris,Robert Morris,Horz,Robert Morris,Robert Morris,Robert Morris,UPMC Events Center
Rutgers,rutgers,Rutgers,B10,Rutgers,Rutgers,Rutgers,Jersey Mike's Arena
Sacramento St.,sacramento-state,Sacramento St.,BSky,Sacramento ST,Sac State,Sacramento State,Hornets Nest
Sacred Heart,sacred-heart,Sacred Heart,MAAC,Sacred Heart,Sacred Hrt,Sacred Heart,William H. Pitt Center
Saint Francis,saint-francis-pa,Saint Francis,NEC,St Francis-PA,St Francis PA,Saint Francis (PA),DeGol Arena
Saint Joseph's,saint-josephs,Saint Joseph's,A10,St Josephs,Saint Joseph's,Saint Joseph's,Hagan Arena
Saint Louis,saint-louis,Saint Louis,A10,Saint Louis,Saint Louis,Saint Louis,Chaifetz Arena
Saint Mary's,saint-marys-ca,Saint Mary's,WCC,St Marys,Saint Mary's,Saint Mary's (CA),University Credit Union Pavilion
Saint Peter's,saint-peters,Saint Peter's,MAAC,St Peters,St Peters,Saint Peter's,Run Baby Run Arena
Sam Houston St.,sam-houston-state,Sam Houston,CUSA,Sam Houston ST,Sam Hous St,Sam Houston,Bernard Johnson Coliseum
Samford,samford,Samford,SC,Samford,Samford,Samford,Pete Hanna Center
San Diego,san-diego,San Diego,WCC,San Diego,San Diego,San Diego,Jenny Craig Pavilion
San Diego St.,san-diego-state,San Diego St.,MWC,San Diego ST,San Diego St,San Diego State,Viejas Arena
San Francisco,san-francisco,San Fran.,WCC,San Francisco,San Francisco,San Francisco,The Sobrato Center
San Jose St.,san-jose-state,San Jose St.,MWC,San Jose ST,San Jose St,San Jose State,Provident Credit Union Event Center
Santa Clara,santa-clara,Santa Clara,WCC,Santa Clara,Santa Clara,Santa Clara,Leavey Center
Seattle,seattle,Seattle,WCC,Seattle U,Seattle,Seattle,Redhawk Center
Seton Hall,seton-hall,Seton Hall,BE,Seton Hall,Seton Hall,Seton Hall,Prudential Center
Siena,siena,Siena,MAAC,Siena,Siena,Siena,MVP Arena
SIUE,southern-illinois-edwardsville,SIUE,OVC,SIU-Edwardsville,SIU Edward,SIU Edwardsville,Vadalabene Center
SMU,southern-methodist,SMU,ACC,SMU,SMU,Southern Methodist,Moody Coliseum
South Alabama,south-alabama,South Alabama,SB,S Alabama,S Alabama,South Alabama,Mitchell Center
South Carolina,south-carolina,S. Carolina,SEC,South Carolina,South Carolina,South Carolina,Colonial Life Arena
South Carolina St.,south-carolina-state,SC State,MEAC,S Carolina ST,S Car State,South Carolina State,SHM Memorial Center
South Dakota,south-dakota,South Dakota,Sum,S Dakota,South Dakota,South Dakota,Sanford Coyote Sports Center
South Dakota St.,south-dakota-state,S. Dak. St.,Sum,S Dakota ST,S Dakota St,South Dakota State,First Bank and Trust Arena
South Florida,south-florida,South Florida,Amer,South Florida,S Florida,South Florida,Yuengling Center
Southeast Missouri,southeast-missouri-state,SE Missouri St.,OVC,SE Missouri ST,SE Missouri,Southeast Missouri State,Show Me Center
Southeastern Louisiana,southeastern-louisiana,SE Louisiana,Slnd,SE Louisiana,SE Louisiana,Southeastern Louisiana,University Center
Southern,southern,Southern U.,SWAC,Southern U,Southern,Southern,F. G. Clark Activity Center
Southern Illinois,southern-illinois,S. Illinois,MVC,S Illinois,S Illinois,Southern Illinois,Banterra Center
Southern Indiana,southern-indiana,So. Indiana,OVC,S Indiana,S Indiana,Southern Indiana,"Liberty Arena, Home of the Screaming Eagles"
Southern Miss,southern-mississippi,So. Miss,SB,Southern Miss,S Mississippi,Southern Mississippi,Reed Green Coliseum
Southern Utah,southern-utah,So. Utah,WAC,S Utah,S Utah,Southern Utah,America First Event Center
St. Bonaventure,st-bonaventure,St. Bona.,A10,St Bonaventure,St Bonaventure,St. Bonaventure,Reilly Center
St. Francis NY,st-francis-ny,,,,,,
St. John's,st-johns-ny,St. John's,BE,St Johns,St John's,St. John's (NY),Carnesecca Arena
St. Thomas,st-thomas-mn,St. Thomas (MN),Sum,ST Thomas-MN,St. Thomas,St. Thomas,Lee and Penny Anderson Arena
Stanford,stanford,Stanford,ACC,Stanford,Stanford,Stanford,Maples Pavilion
Stephen F. Austin,stephen-f-austin,SF Austin,Slnd,Stephen F Austin,SF Austin,Stephen F. Austin,William R. Johnson Coliseum
Stetson,stetson,Stetson,ASun,Stetson,Stetson,Stetson,Edmunds Center
Stonehill,stonehill,Stonehill,NEC,Stonehill,Stonehill,Stonehill,Merkert Gymnasium
Stony Brook,stony-brook,Stony Brook,CAA,Stony Brook,Stony Brook,Stony Brook,Island Federal Credit Union Arena
Syracuse,syracuse,Syracuse,ACC,Syracuse,Syracuse,Syracuse,JMA Wireless Dome
Tarleton St.,tarleton-state,Tarleton St.,WAC,Tarleton ST,Tarleton St,Tarleton State,EECU Center
TCU,texas-christian,TCU,B12,TCU,TCU,TCU,Schollmaier Arena
Temple,temple,Temple,Amer,Temple,Temple,Temple,Liacouras Center
Tennessee,tennessee,Tennessee,SEC,Tennessee,Tennessee,Tennessee,Thompson-Boling Arena
Tennessee Martin,tennessee-martin,UT Martin,OVC,Tennessee-Martin,TN Martin,Tennessee-Martin,Kathleen and Tom Elam Center
Tennessee St.,tennessee-state,Tenn. State,OVC,Tennessee ST,TN State,Tennessee State,Gentry Complex
Tennessee Tech,tennessee-tech,Tenn. Tech,OVC,Tennessee Tech,TN Tech,Tennessee Tech,Hooper Eblen Center
Texas,texas,Texas,SEC,Texas,Texas,Texas,Moody Center
Texas A&M,texas-am,Texas A&M,SEC,Texas A&M,Texas A&M,Texas A&M,Reed Arena
East Texas A&M,texas-am-commerce,Texas A&M-Commerce,Slnd,TAMU-Commerce,TX A&M-Com,,The Field House
Texas A&M Corpus Chris,texas-am-corpus-christi,TX A&M-CC,Slnd,Texas A&M CC,Texas A&M-CC,Texas A&M-Corpus Christi,American Bank Center Arena
Texas Southern,texas-southern,Texas So.,SWAC,Texas Southern,TX Southern,Texas Southern,Health and Physical Education Arena
Texas St.,texas-state,Texas St.,SB,Texas ST,Texas St,Texas State,Strahan Arena
Texas Tech,texas-tech,Texas Tech,B12,Texas Tech,Texas Tech,Texas Tech,United Supermarkets Arena
The Citadel,citadel,The Citadel,SC,The Citadel,Citadel,The Citadel,McAlister Field House
Toledo,toledo,Toledo,MAC,Toledo,Toledo,Toledo,Savage Arena
Towson,towson,Towson,CAA,Towson,Towson,Towson,TU Arena
Troy,troy,Troy,SB,Troy,Troy,Troy,Trojan Arena
Tulane,tulane,Tulane,Amer,Tulane,Tulane,Tulane,Devlin Fieldhouse
Tulsa,tulsa,Tulsa,Amer,Tulsa,Tulsa,Tulsa,Reynolds Center
UAB,alabama-birmingham,UAB,Amer,UAB,UAB,UAB,Bartow Arena
UC Davis,california-davis,UC Davis,BW,UC-Davis,UC Davis,UC Davis,University Credit Union Center
UC Irvine,california-irvine,UC Irvine,BW,UC-Irvine,UC Irvine,UC Irvine,Bren Events Center
UC Riverside,california-riverside,UC Riverside,BW,UC-Riverside,UC Riverside,UC Riverside,UC Riverside Student Recreation Center
UC San Diego,california-san-diego,UC San Diego,BW,UC-San Diego,UCSD,UC San Diego,LionTree Arena
UC Santa Barbara,california-santa-barbara,UCSB,BW,UC-Santa Barbara,UCSB,UC Santa Barbara,UC Santa Barbara Events Center
UCF,central-florida,UCF,B12,C Florida,UCF,UCF,Addition Financial Arena
UCLA,ucla,UCLA,B10,UCLA,UCLA,UCLA,Pauley Pavilion
UMass Lowell,massachusetts-lowell,UMass Lowell,AE,Umass-Lowell,Mass Lowell,Massachusetts-Lowell,Costello Athletic Center
UMBC,maryland-baltimore-county,UMBC,AE,MD-Balt CO,UMBC,Maryland-Baltimore County,Chesapeake Employers Insurance Arena
UNC Asheville,north-carolina-asheville,UNC-Ash.,BSth,UNC-Asheville,NC-Asheville,UNC Asheville,Kimmel Arena
UNC Greensboro,north-carolina-greensboro,UNCG,SC,UNC-Greensboro,NC-Grnsboro,UNC Greensboro,First Horizon Coliseum
UNC Wilmington,north-carolina-wilmington,UNCW,CAA,UNC-Wilmington,NC Wilmington,UNC Wilmington,Trask Coliseum
UNLV,nevada-las-vegas,UNLV,MWC,UNLV,UNLV,Nevada-Las Vegas,Thomas & Mack Center
USC,southern-california,USC,B10,USC,USC,Southern California,Galen Center
USC Upstate,south-carolina-upstate,SC Upstate,BSth,SC-Upstate,SC Upstate,South Carolina Upstate,G. B. Hodge Center
UT Arlington,texas-arlington,UT Arlington,WAC,Texas-Arlington,UT Arlington,UT Arlington,College Park Center
UT Rio Grande Valley,texas-pan-american,UT-Rio Grande Valley,Slnd,UTRGV,TX-Pan Am,Texas-Rio Grande Valley,UTRGV Fieldhouse
Utah,utah,Utah,B12,Utah,Utah,Utah,Jon M. Huntsman Center
Utah St.,utah-state,Utah St.,MWC,Utah ST,Utah St,Utah State,Smith Spectrum
Utah Tech,dixie-state,Utah Tech,WAC,Utah Tech,Utah Tech,Utah Tech,Burns Arena
Utah Valley,utah-valley,Utah Valley,WAC,Utah Valley,Utah Valley,Utah Valley,UCCU Center
UTEP,texas-el-paso,UTEP,CUSA,Texas-El Paso,UTEP,UTEP,Don Haskins Center
UTSA,texas-san-antonio,UTSA,Amer,Texas-San Antonio,UTSA,UTSA,Convocation Center
Valparaiso,valparaiso,Valparaiso,MVC,Valparaiso,Valparaiso,Valparaiso,Athletics–Recreation Center
Vanderbilt,vanderbilt,Vanderbilt,SEC,Vanderbilt,Vanderbilt,Vanderbilt,Memorial Gymnasium
VCU,virginia-commonwealth,VCU,A10,VA Commonwealth,VCU,Virginia Commonwealth,Siegel Center
Vermont,vermont,Vermont,AE,Vermont,Vermont,Vermont,Patrick Gym
Villanova,villanova,Villanova,BE,Villanova,Villanova,Villanova,Finneran Pavilion
Virginia,virginia,Virginia,ACC,Virginia,Virginia,Virginia,John Paul Jones Arena
Virginia Tech,virginia-tech,Va. Tech,ACC,Virginia Tech,Virginia Tech,Virginia Tech,Cassell Coliseum
VMI,virginia-military-institute,VMI,SC,VMI,VMI,VMI,Cameron Hall
Wagner,wagner,Wagner,NEC,Wagner,Wagner,Wagner,Spiro Sports Center
Wake Forest,wake-forest,Wake Forest,ACC,Wake Forest,Wake Forest,Wake Forest,Lawrence Joel Veterans Memorial Coliseum
Washington,washington,Washington,B10,Washington,Washington,Washington,Alaska Airlines Arena at Hec Edmundson Pavilion
Washington St.,washington-state,Wash. St.,WCC,Washington ST,Washington St,Washington State,Beasley Coliseum
Weber St.,weber-state,Weber St.,BSky,Weber ST,Weber St,Weber State,Dee Events Center
West Virginia,west-virginia,West Virginia,B12,West Virginia,West Virginia,West Virginia,WVU Coliseum
Western Carolina,western-carolina,W. Carolina,SC,W Carolina,W Carolina,Western Carolina,Liston B. Ramsey Regional Activity Center
Western Illinois,western-illinois,W. Illinois,OVC,W Illinois,W Illinois,Western Illinois,Western Hall
Western Kentucky,western-kentucky,W. Kentucky,CUSA,W Kentucky,W Kentucky,Western Kentucky,E. A. Diddle Arena
Western Michigan,western-michigan,W. Michigan,MAC,W Michigan,W Michigan,Western Michigan,University Arena
Wichita St.,wichita-state,Wichita St.,Amer,Wichita ST,Wichita St,Wichita State,Charles Koch Arena
William & Mary,william-mary,William & Mary,CAA,William & Mary,Wm & Mary,William & Mary,Kaplan Arena
Winthrop,winthrop,Winthrop,BSth,Winthrop,Winthrop,Winthrop,Winthrop Coliseum
Wisconsin,wisconsin,Wisconsin,B10,Wisconsin,Wisconsin,Wisconsin,Kohl Center
Wofford,wofford,Wofford,SC,Wofford,Wofford,Wofford,Jerry Richardson Indoor Stadium
Wright St.,wright-state,Wright St.,Horz,Wright ST,Wright St,Wright State,Nutter Center
Wyoming,wyoming,Wyoming,MWC,Wyoming,Wyoming,Wyoming,Arena-Auditorium
Xavier,xavier,Xavier,BE,Xavier,Xavier,Xavier,Cintas Center
Yale,yale,Yale,Ivy,Yale,Yale,Yale,John J. Lee Amphitheater
Youngstown St.,youngstown-state,Youngstown St.,Horz,Youngstown ST,Youngs St,Youngstown State,Beeghly Center
East Texas A&M,east-texas-a&m,East Texas A&M,Slnd,East Texas A&M,E Texas A&M,,The Field House
West Georgia,west-georgia,W. Georgia,ASun,W Georgia,W Georgia,,The Coliseum
New Haven,new-haven,New Haven,NEC,New Haven,New Haven,,Jeffery P. Hazell Athletics Center
